SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Plate	Variety	Race	Race_info	GrowthCondtion_Rep
CC0807LE9L0718177775	71817	Leaf	CentralCity	8	7	Low N	E9	PI229841	89	Energy	Kafir	Kafir	Low N_8
CC0101FG1L0718176036	71817	Leaf	CentralCity	1	1	Full N	G1	BTx623	84	Grain	Kafir	Kafir	Full N_1
CC0201FG1L0718176042	71817	Leaf	CentralCity	2	1	Full N	G1	BTx623	80	Grain	Kafir	Kafir	Full N_2
CC0201LG1L0718176039	71817	Leaf	CentralCity	2	1	Low N	G1	BTx623	83	Grain	Kafir	Kafir	Low N_2
CC0301FG1L0718176045	71817	Leaf	CentralCity	3	1	Full N	G1	BTx623	85	Grain	Kafir	Kafir	Full N_3
CC0402FG1L0718177503	71817	Leaf	CentralCity	4	2	Full N	G1	BTx623	93	Grain	Kafir	Kafir	Full N_4
CC0402LG1L0718177479	71817	Leaf	CentralCity	4	2	Low N	G1	BTx623	90	Grain	Kafir	Kafir	Low N_4
CC0501FG1L0718176051	71817	Leaf	CentralCity	5	1	Full N	G1	BTx623	87	Grain	Kafir	Kafir	Full N_5
CC0501LG1L0718176054	71817	Leaf	CentralCity	5	1	Low N	G1	BTx623	84	Grain	Kafir	Kafir	Low N_5
CC0602FG1L0718176057	71817	Leaf	CentralCity	6	2	Full N	G1	BTx623	82	Grain	Kafir	Kafir	Full N_6
CC0602LG1L0718176060	71817	Leaf	CentralCity	6	2	Low N	G1	BTx623	84	Grain	Kafir	Kafir	Low N_6
CC0802FG1L0718176063	71817	Leaf	CentralCity	8	2	Full N	G1	BTx623	83	Grain	Kafir	Kafir	Full N_8
CC0802LG1L0718176066	71817	Leaf	CentralCity	8	2	Low N	G1	BTx623	83	Grain	Kafir	Kafir	Low N_8
CC0202FG3L0718177415	71817	Leaf	CentralCity	2	2	Full N	G3	Btx642	93	Grain	Caudatum	Caudatum	Full N_2
CC0401LG3L0718177478	71817	Leaf	CentralCity	4	1	Low N	G3	Btx642	90	Grain	Caudatum	Caudatum	Low N_4
CC0502FG3L0718177526	71817	Leaf	CentralCity	5	2	Full N	G3	Btx642	89	Grain	Caudatum	Caudatum	Full N_5
CC0502LG3L0718177547	71817	Leaf	CentralCity	5	2	Low N	G3	Btx642	94	Grain	Caudatum	Caudatum	Low N_5
CC0601FG3L0718177568	71817	Leaf	CentralCity	6	1	Full N	G3	Btx642	92	Grain	Caudatum	Caudatum	Full N_6
CC0601LG3L0718177394	71817	Leaf	CentralCity	6	1	Low N	G3	Btx642	79	Grain	Caudatum	Caudatum	Low N_6
CC0206FS10L0718177418	71817	Leaf	CentralCity	2	6	Full N	S10	China17	94	Sweet	Bicolor	Bicolor	Full N_2
CC0206LS10L0718177305	71817	Leaf	CentralCity	2	6	Low N	S10	China17	86	Sweet	Bicolor	Bicolor	Low N_2
CC0304FS10L0718177437	71817	Leaf	CentralCity	3	4	Full N	S10	China17	95	Sweet	Bicolor	Bicolor	Full N_3
CC0304LS10L0718177458	71817	Leaf	CentralCity	3	4	Low N	S10	China17	95	Sweet	Bicolor	Bicolor	Low N_3
CC0405FS10L0718177506	71817	Leaf	CentralCity	4	5	Full N	S10	China17	89	Sweet	Bicolor	Bicolor	Full N_4
CC0504LS10L0718177549	71817	Leaf	CentralCity	5	4	Low N	S10	China17	95	Sweet	Bicolor	Bicolor	Low N_5
CC0606FS10L0718177571	71817	Leaf	CentralCity	6	6	Full N	S10	China17	94	Sweet	Bicolor	Bicolor	Full N_6
CC0703LS10L0718177371	71817	Leaf	CentralCity	7	3	Low N	S10	China17	82	Sweet	Bicolor	Bicolor	Low N_7
CC0806LS10L0718177774	71817	Leaf	CentralCity	8	6	Low N	S10	China17	90	Sweet	Bicolor	Bicolor	Low N_8
CC0105FS2L0718177283	71817	Leaf	CentralCity	1	5	Full N	S2	SanChiSan	86	Sweet	Bicolor	Bicolor	Full N_1
CC0204FS2L0718177417	71817	Leaf	CentralCity	2	4	Full N	S2	SanChiSan	90	Sweet	Bicolor	Bicolor	Full N_2
CC0305FS2L0718177438	71817	Leaf	CentralCity	3	5	Full N	S2	SanChiSan	97	Sweet	Bicolor	Bicolor	Full N_3
CC0305LS2L0718177459	71817	Leaf	CentralCity	3	5	Low N	S2	SanChiSan	98	Sweet	Bicolor	Bicolor	Low N_3
CC0406FS2L0718177507	71817	Leaf	CentralCity	4	6	Full N	S2	SanChiSan	89	Sweet	Bicolor	Bicolor	Full N_4
CC0603FS2L0718177569	71817	Leaf	CentralCity	6	3	Full N	S2	SanChiSan	94	Sweet	Bicolor	Bicolor	Full N_6
CC0706FS2L0718177344	71817	Leaf	CentralCity	7	6	Full N	S2	SanChiSan	87	Sweet	Bicolor	Bicolor	Full N_7
CC0108LS3L0718177265	71817	Leaf	CentralCity	1	8	Low N	S3	ICSV700	79	Sweet	Durra	Durra	Low N_1
CC0218FS3L0718177430	71817	Leaf	CentralCity	2	18	Full N	S3	ICSV700	92	Sweet	Durra	Durra	Full N_2
CC0218LS3L0718177409	71817	Leaf	CentralCity	2	18	Low N	S3	ICSV700	94	Sweet	Durra	Durra	Low N_2
CC0307FS3L0718177440	71817	Leaf	CentralCity	3	7	Full N	S3	ICSV700	95	Sweet	Durra	Durra	Full N_3
CC0307LS3L0718177461	71817	Leaf	CentralCity	3	7	Low N	S3	ICSV700	96	Sweet	Durra	Durra	Low N_3
CC0513FS3L0718177535	71817	Leaf	CentralCity	5	13	Full N	S3	ICSV700	90	Sweet	Durra	Durra	Full N_5
CC0513LS3L0718177556	71817	Leaf	CentralCity	5	13	Low N	S3	ICSV700	92	Sweet	Durra	Durra	Low N_5
CC0613FS3L0718177577	71817	Leaf	CentralCity	6	13	Full N	S3	ICSV700	89	Sweet	Durra	Durra	Full N_6
CC0711FS3L0718177339	71817	Leaf	CentralCity	7	11	Full N	S3	ICSV700	82	Sweet	Durra	Durra	Full N_7
CC0818LS3L0718177786	71817	Leaf	CentralCity	8	18	Low N	S3	ICSV700	96	Sweet	Durra	Durra	Low N_8
CC0207FS4L0718177419	71817	Leaf	CentralCity	2	7	Full N	S4	Atlas	96	Sweet	Kafir	Kafir	Full N_2
CC0207LS4L0718177306	71817	Leaf	CentralCity	2	7	Low N	S4	Atlas	83	Sweet	Kafir	Kafir	Low N_2
CC0408FS4L0718177509	71817	Leaf	CentralCity	4	8	Full N	S4	Atlas	92	Sweet	Kafir	Kafir	Full N_4
CC0515FS4L0718177537	71817	Leaf	CentralCity	5	15	Full N	S4	Atlas	97	Sweet	Kafir	Kafir	Full N_5
CC0515LS4L0718177558	71817	Leaf	CentralCity	5	15	Low N	S4	Atlas	94	Sweet	Kafir	Kafir	Low N_5
CC0224LS5L0718177414	71817	Leaf	CentralCity	2	24	Low N	S5	Leoti	89	Sweet	Kafir/bicolor	Intermediate	Low N_2
CC0312FS5L0718177444	71817	Leaf	CentralCity	3	12	Full N	S5	Leoti	92	Sweet	Kafir/bicolor	Intermediate	Full N_3
CC0410FS5L0718177511	71817	Leaf	CentralCity	4	10	Full N	S5	Leoti	94	Sweet	Kafir/bicolor	Intermediate	Full N_4
CC0410LS5L0718177487	71817	Leaf	CentralCity	4	10	Low N	S5	Leoti	94	Sweet	Kafir/bicolor	Intermediate	Low N_4
CC0707LS5L0718177367	71817	Leaf	CentralCity	7	7	Low N	S5	Leoti	83	Sweet	Kafir/bicolor	Intermediate	Low N_7
CC0822FS5L0718177768	71817	Leaf	CentralCity	8	22	Full N	S5	Leoti	93	Sweet	Kafir/bicolor	Intermediate	Full N_8
CC0117FS6L0718177294	71817	Leaf	CentralCity	1	17	Full N	S6	ChineseAmber	82	Sweet	Bicolor	Bicolor	Full N_1
CC0117LS6L0718177273	71817	Leaf	CentralCity	1	17	Low N	S6	ChineseAmber	82	Sweet	Bicolor	Bicolor	Low N_1
CC0213FS6L0718177425	71817	Leaf	CentralCity	2	13	Full N	S6	ChineseAmber	95	Sweet	Bicolor	Bicolor	Full N_2
CC0213LS6L0718177404	71817	Leaf	CentralCity	2	13	Low N	S6	ChineseAmber	92	Sweet	Bicolor	Bicolor	Low N_2
CC0324FS6L0718177456	71817	Leaf	CentralCity	3	24	Full N	S6	ChineseAmber	96	Sweet	Bicolor	Bicolor	Full N_3
CC0409FS6L0718177510	71817	Leaf	CentralCity	4	9	Full N	S6	ChineseAmber	89	Sweet	Bicolor	Bicolor	Full N_4
CC0409LS6L0718177486	71817	Leaf	CentralCity	4	9	Low N	S6	ChineseAmber	94	Sweet	Bicolor	Bicolor	Low N_4
CC0519FS6L0718177541	71817	Leaf	CentralCity	5	19	Full N	S6	ChineseAmber	92	Sweet	Bicolor	Bicolor	Full N_5
CC0617FS6L0718177581	71817	Leaf	CentralCity	6	17	Full N	S6	ChineseAmber	89	Sweet	Bicolor	Bicolor	Full N_6
CC0812FS6L0718177316	71817	Leaf	CentralCity	8	12	Full N	S6	ChineseAmber	80	Sweet	Bicolor	Bicolor	Full N_8
CC0812LS6L0718177780	71817	Leaf	CentralCity	8	12	Low N	S6	ChineseAmber	94	Sweet	Bicolor	Bicolor	Low N_8
CC0211FS8L0718177423	71817	Leaf	CentralCity	2	11	Full N	S8	Rio	98	Sweet	Durra/caudatum	Intermediate	Full N_2
CC0314LS8L0718177467	71817	Leaf	CentralCity	3	14	Low N	S8	Rio	96	Sweet	Durra/caudatum	Intermediate	Low N_3
CC0523LS8L0718177566	71817	Leaf	CentralCity	5	23	Low N	S8	Rio	91	Sweet	Durra/caudatum	Intermediate	Low N_5
CC0718LS8L0718177356	71817	Leaf	CentralCity	7	18	Low N	S8	Rio	86	Sweet	Durra/caudatum	Intermediate	Low N_7
CC0809LS8L0718177777	71817	Leaf	CentralCity	8	9	Low N	S8	Rio	94	Sweet	Durra/caudatum	Intermediate	Low N_8
