SampleType_GrowthCondtion,SampleType,Bacteroidota,Myxococcota,Planctomycetota,Chloroflexi,Acidobacteriota,Firmicutes,Gemmatimonadota,Crenarchaeota,Nitrososphaeraceae
Soil Within Row_Low N,Soil Within Row,0.060429152,0.064309004,0.036457859,0.04195887,0.086977905,0.029499627,0.030610758,0.043397876,0.043397876
Soil Within Row_Full N,Soil Within Row,0.089583705,0.052698703,0.051910435,0.0456675,0.131506931,0.029006038,0.035546433,0.035092807,0.035092807
Soil Within Row_Low N,Soil Within Row,0.086450592,0.069833832,0.036569283,0.049648581,0.077420756,0.022683196,0.035390129,0.02395544,0.02395544
Soil Within Row_Full N,Soil Within Row,0.078683548,0.060151084,0.021591792,0.062551479,0.073059092,0.039159391,0.033452569,0.024839385,0.024839385
Soil Within Row_Low N,Soil Within Row,0.076736549,0.048738804,0.030565771,0.046761335,0.108832398,0.027425084,0.039755188,0.027371397,0.027371397
Soil Within Row_Full N,Soil Within Row,0.084281663,0.053048076,0.029430302,0.060663889,0.074915088,0.046220106,0.028992612,0.022479779,0.022479779
Soil Within Row_Low N,Soil Within Row,0.079076394,0.053650272,0.034487627,0.04773334,0.111112537,0.030739809,0.035886641,0.021883664,0.021883664
Soil Within Row_Full N,Soil Within Row,0.063280007,0.060080409,0.031677695,0.049912053,0.094212246,0.041712036,0.026007203,0.0337968,0.0337968
Soil Within Row_Low N,Soil Within Row,0.062037446,0.052833742,0.036412909,0.074111926,0.097147024,0.039501863,0.02456235,0.054533241,0.054533241
Soil Within Row_Full N,Soil Within Row,0.081284023,0.052742777,0.046195135,0.055635921,0.111014884,0.022745441,0.03165328,0.026323804,0.026323804
Soil Within Row_Low N,Soil Within Row,0.073346857,0.049820299,0.044374132,0.059632218,0.122252111,0.029193218,0.029435759,0.032125769,0.032125769
Soil Within Row_Full N,Soil Within Row,0.130083115,0.048251241,0.034919395,0.046354661,0.086164259,0.02547368,0.035718934,0.016399844,0.016399844
Soil Within Row_Low N,Soil Within Row,0.060849667,0.05796145,0.055004671,0.065580514,0.119985259,0.027108098,0.0294221,0.025856823,0.025856823
Soil Within Row_Full N,Soil Within Row,0.074028311,0.051259323,0.029188715,0.082605854,0.063033298,0.061600723,0.027075667,0.055915192,0.055915192
Soil Within Row_Low N,Soil Within Row,0.095529924,0.05015871,0.036068596,0.075552343,0.073687629,0.036602868,0.023906052,0.040772285,0.040772285
Soil Within Row_Full N,Soil Within Row,0.083972239,0.062249449,0.037895871,0.05376829,0.091538886,0.026458208,0.034062437,0.032308579,0.032308579
Soil Within Row_Low N,Soil Within Row,0.078532715,0.058455738,0.040986568,0.053585736,0.089576624,0.023281753,0.036336501,0.02940853,0.02940853
Soil Within Row_Full N,Soil Within Row,0.043478261,0.046035806,0.024296675,0.052429668,0.093350384,0.031969309,0.037084399,0.025575448,0.025575448
Soil Within Row_Low N,Soil Within Row,0.068676829,0.052080264,0.040493477,0.053526938,0.099525812,0.027701128,0.019355962,0.060197712,0.060197712
Soil Within Row_Full N,Soil Within Row,0.075989861,0.055540517,0.029788124,0.056955484,0.087420331,0.035238822,0.019772621,0.064411743,0.064411743
Soil Within Row_Low N,Soil Within Row,0.070075166,0.052073953,0.025186996,0.056953302,0.070727583,0.037913734,0.028375572,0.05552901,0.05552901
Soil Within Row_Full N,Soil Within Row,0.070087942,0.052137943,0.025500058,0.059549761,0.080041259,0.036686906,0.028339306,0.031486936,0.031486936
Soil Within Row_Low N,Soil Within Row,0.067117607,0.05498517,0.027190616,0.067922857,0.078592423,0.03174028,0.028868221,0.029807679,0.029807679
Soil Within Row_Full N,Soil Within Row,0.08178231,0.041037818,0.02723749,0.055599399,0.099780005,0.063190977,0.0306317,0.037601704,0.037601704
Soil Within Row_Low N,Soil Within Row,0.096056329,0.054326411,0.02271406,0.045395821,0.086407093,0.045565389,0.028350182,0.028980007,0.028980007
Soil Within Row_Full N,Soil Within Row,0.062876108,0.041686422,0.024836792,0.064480834,0.06947737,0.067945585,0.01684963,0.058718407,0.058718407
Soil Within Row_Low N,Soil Within Row,0.067622696,0.052815147,0.040203039,0.062375436,0.110254733,0.039689213,0.031156577,0.028042476,0.028042476
Soil Within Row_Full N,Soil Within Row,0.094530655,0.044130298,0.024120703,0.073544982,0.053345135,0.050483076,0.021448897,0.057472786,0.057472786
Soil Within Row_Low N,Soil Within Row,0.082130706,0.051574568,0.020091265,0.072496251,0.044560362,0.05574278,0.022122966,0.054057758,0.054041634
Soil Within Row_Full N,Soil Within Row,0.101143813,0.05407519,0.033901107,0.070313642,0.090322417,0.039337237,0.027778308,0.046369237,0.046369237
Soil Within Row_Low N,Soil Within Row,0.104366387,0.053018421,0.021279755,0.072952531,0.062159529,0.050317851,0.03362257,0.039413484,0.039413484
Soil Within Row_Full N,Soil Within Row,0.06685299,0.044122026,0.024185908,0.087080096,0.057115015,0.044318274,0.02281217,0.056925534,0.056925534
Soil Within Row_Low N,Soil Within Row,0.050250762,0.044399646,0.041424919,0.077613335,0.11021241,0.02196627,0.028985151,0.028911397,0.028911397
Soil Within Row_Full N,Soil Within Row,0.07022486,0.068108974,0.036358173,0.051645132,0.072829026,0.032990284,0.03140024,0.055839343,0.055839343
Soil Within Row_Low N,Soil Within Row,0.077542123,0.06480859,0.050574197,0.071966533,0.091056646,0.027864366,0.025195417,0.046730368,0.046730368
Soil Within Row_Full N,Soil Within Row,0.073729538,0.040704849,0.028606439,0.053165693,0.114926262,0.034224174,0.030280542,0.036838881,0.036838881
Soil Within Row_Low N,Soil Within Row,0.078351449,0.040829491,0.028107159,0.05239899,0.073918533,0.024538867,0.034735946,0.018870773,0.018870773
Soil Within Row_Full N,Soil Within Row,0.068970928,0.051128595,0.032703472,0.045950732,0.082173358,0.035438101,0.017483693,0.091811804,0.091811804
Soil Within Row_Low N,Soil Within Row,0.053293263,0.042335047,0.040508678,0.073499285,0.103967763,0.03505856,0.019751846,0.078147346,0.078147346
Soil Within Row_Full N,Soil Within Row,0.071181744,0.051291254,0.035298733,0.065831427,0.106622373,0.044446856,0.025724922,0.048770512,0.048770512
Soil Within Row_Low N,Soil Within Row,0.083850566,0.049948697,0.02984811,0.061008225,0.100292678,0.040554406,0.027585743,0.035668029,0.035668029
Soil Within Row_Full N,Soil Within Row,0.061345064,0.035614371,0.026761393,0.092799823,0.076971214,0.049087094,0.021515865,0.031381138,0.031381138
Soil Within Row_Low N,Soil Within Row,0.056170895,0.047704118,0.022379576,0.082004309,0.058119769,0.098558916,0.022163034,0.050302617,0.050270136
Soil Within Row_Full N,Soil Within Row,0.07924008,0.052275165,0.031448853,0.040529084,0.096777488,0.029528625,0.029600123,0.060150146,0.060150146
Soil Within Row_Low N,Soil Within Row,0.080919832,0.03807009,0.018617244,0.064926383,0.038521316,0.048581981,0.013553487,0.063555994,0.063555994
Soil Within Row_Full N,Soil Within Row,0.114611034,0.046693384,0.034295916,0.084472577,0.076856811,0.043297502,0.027616515,0.03345943,0.03345943
Soil Within Row_Low N,Soil Within Row,0.089192605,0.054154275,0.01925973,0.082517916,0.043642776,0.095889996,0.020735427,0.041281661,0.041281661
Soil Within Row_Low N,Soil Within Row,0.08344796,0.03311427,0.022619593,0.05884151,0.049594987,0.047022263,0.013857048,0.061821794,0.061821794
Soil Within Row_Full N,Soil Within Row,0.048839635,0.049169926,0.020947414,0.10194698,0.04478053,0.05587136,0.028570187,0.059104737,0.059104737
Soil Within Row_Low N,Soil Within Row,0.079125124,0.060909973,0.03683225,0.080703509,0.075929139,0.020332735,0.035381312,0.056037568,0.056037568
Soil Within Row_Full N,Soil Within Row,0.072978159,0.054739718,0.020889236,0.038135662,0.07816591,0.037720967,0.030711811,0.017774959,0.017774959
Soil Within Row_Low N,Soil Within Row,0.099453276,0.05288434,0.02014969,0.045571768,0.081928318,0.035932468,0.032998269,0.030270382,0.030270382
Soil Within Row_Full N,Soil Within Row,0.087412446,0.049110684,0.026161892,0.045695925,0.100990818,0.052659882,0.026296331,0.036917037,0.036917037
Soil Within Row_Low N,Soil Within Row,0.05483898,0.045018503,0.03804836,0.065557671,0.117905604,0.053976694,0.025820669,0.030443478,0.030443478
Soil Within Row_Full N,Soil Within Row,0.060136901,0.066730007,0.026717914,0.038644526,0.081881195,0.060676729,0.027804769,0.032627238,0.032627238
Soil Within Row_Low N,Soil Within Row,0.078932187,0.055053447,0.032351111,0.056161982,0.096827103,0.032532097,0.027136474,0.033052429,0.033052429
Soil Within Row_Low N,Soil Within Row,0.059092401,0.04153713,0.025819733,0.084309455,0.072840648,0.065399648,0.024232479,0.050255094,0.050255094
Soil Within Row_Full N,Soil Within Row,0.08635074,0.049221888,0.032564117,0.059819096,0.094525127,0.063281272,0.021426164,0.040436529,0.040422484
Soil Within Row_Low N,Soil Within Row,0.066890018,0.042909955,0.02487127,0.087173224,0.053785978,0.053604436,0.014259308,0.041441114,0.041441114
Soil Within Row_Full N,Soil Within Row,0.069523153,0.044916742,0.016677873,0.066327288,0.039860989,0.048068947,0.023698296,0.041764536,0.041764536
Soil Within Row_Low N,Soil Within Row,0.059605202,0.050612495,0.024122169,0.063680637,0.054278813,0.040400305,0.025593416,0.042587508,0.042587508
Soil Within Row_Full N,Soil Within Row,0.062390909,0.046663636,0.0207,0.082436364,0.040772727,0.082054545,0.018945455,0.057790909,0.057790909
Soil Within Row_Low N,Soil Within Row,0.07977442,0.044460973,0.024156574,0.084492501,0.056184016,0.046581334,0.021458942,0.050067163,0.050067163
Soil Within Row_Full N,Soil Within Row,0.092849858,0.068997167,0.041031161,0.059388102,0.086685552,0.021915014,0.044033994,0.029189802,0.029189802
Soil Within Row_Low N,Soil Within Row,0.071341308,0.075852162,0.045618699,0.056170875,0.094405735,0.02660867,0.038100608,0.028367366,0.028367366
Soil Within Row_Full N,Soil Within Row,0.073068834,0.059168026,0.046974169,0.056367117,0.12420193,0.02461405,0.034280487,0.021652819,0.021643389
Soil Within Row_Low N,Soil Within Row,0.091013137,0.061644108,0.030473726,0.040794188,0.104438694,0.031916799,0.038943073,0.028095143,0.028095143
Soil Within Row_Full N,Soil Within Row,0.076106539,0.049644726,0.044275975,0.053392041,0.122248966,0.028911981,0.030641512,0.038164968,0.038164968
Soil Within Row_Low N,Soil Within Row,0.103773413,0.062028323,0.031055276,0.046185473,0.103462768,0.029136592,0.040301508,0.035057104,0.035057104
Soil Within Row_Full N,Soil Within Row,0.062973033,0.054566831,0.035079727,0.049761187,0.10091851,0.02864281,0.021735616,0.051083842,0.051083842
Soil Within Row_Low N,Soil Within Row,0.067647799,0.056993042,0.028206907,0.068310863,0.078264448,0.033061756,0.030668628,0.028938564,0.028938564
Soil Within Row_Full N,Soil Within Row,0.082514642,0.065605517,0.035483185,0.058686,0.071356036,0.02928396,0.035719346,0.036463253,0.036463253
Soil Within Row_Low N,Soil Within Row,0.077198302,0.058778943,0.036928368,0.053611743,0.08381623,0.020440598,0.03648826,0.041516908,0.041516908
Soil Within Row_Full N,Soil Within Row,0.067534589,0.06137158,0.044278535,0.048507849,0.109186607,0.023783426,0.034579033,0.032624656,0.032624656
Soil Within Row_Low N,Soil Within Row,0.080357214,0.058827275,0.059089932,0.064534102,0.102786555,0.015361472,0.036588957,0.020503188,0.020503188
Soil Within Row_Full N,Soil Within Row,0.067299412,0.056111129,0.018925799,0.07472265,0.039504698,0.048530752,0.025645055,0.047103932,0.047103932
Soil Within Row_Low N,Soil Within Row,0.075678175,0.051501673,0.030319711,0.074070812,0.061299982,0.036550995,0.014290118,0.078562621,0.078562621
Soil Within Row_Full N,Soil Within Row,0.067170167,0.075876111,0.043559808,0.051152434,0.089877836,0.022045696,0.033198933,0.032627229,0.032627229
Soil Within Row_Low N,Soil Within Row,0.104414835,0.06303983,0.036974498,0.049541529,0.080815834,0.018267223,0.034497933,0.030588645,0.030588645
Soil Within Row_Full N,Soil Within Row,0.064211577,0.056434775,0.035162042,0.068306755,0.07349129,0.041647754,0.027808878,0.057927598,0.057927598
Soil Within Row_Low N,Soil Within Row,0.068024379,0.062629055,0.041514021,0.063245188,0.084826484,0.042496503,0.028042363,0.048774396,0.048774396
Soil Within Row_Full N,Soil Within Row,0.080970141,0.049665659,0.036049257,0.053980094,0.111656699,0.051773222,0.020281156,0.034978924,0.034978924
Soil Within Row_Low N,Soil Within Row,0.055982389,0.044623005,0.033278298,0.08580444,0.076499725,0.037453678,0.02758393,0.037725188,0.037725188
Soil Within Row_Full N,Soil Within Row,0.070884278,0.049634581,0.028142427,0.049496034,0.093432856,0.059990994,0.026375948,0.031086557,0.031086557
Soil Within Row_Low N,Soil Within Row,0.064432114,0.051504171,0.040331408,0.081247877,0.105103235,0.039453818,0.02986638,0.03550938,0.03550938
Soil Within Row_Full N,Soil Within Row,0.06854768,0.047673022,0.039185524,0.070490764,0.089935096,0.035515255,0.024895762,0.03115681,0.03115681
Soil Within Row_Low N,Soil Within Row,0.061403714,0.048382942,0.045596122,0.076040374,0.106789068,0.038383176,0.026931454,0.032950048,0.032950048
Soil Within Row_Full N,Soil Within Row,0.057207886,0.042029342,0.029403623,0.073232246,0.060421985,0.057761511,0.016793283,0.067803648,0.067803648
Soil Within Row_Low N,Soil Within Row,0.064658091,0.055261761,0.038454501,0.073862285,0.082224743,0.033404088,0.027164267,0.043486615,0.043486615
Soil Within Row_Full N,Soil Within Row,0.063531246,0.055519466,0.044259668,0.073221168,0.085303798,0.052953532,0.021729245,0.055216318,0.055205491
Soil Within Row_Low N,Soil Within Row,0.072916667,0.058284344,0.031017946,0.047609839,0.085795689,0.036419658,0.026750722,0.029290429,0.029290429
Soil Within Row_Full N,Soil Within Row,0.067895472,0.059542792,0.033658573,0.081089566,0.069688282,0.059047084,0.02304216,0.055230132,0.055230132
Soil Within Row_Low N,Soil Within Row,0.074093045,0.05131617,0.023032982,0.087739127,0.057874752,0.056059729,0.028327729,0.052541033,0.052541033
Soil Within Row_Full N,Soil Within Row,0.064192316,0.055198272,0.025487078,0.092408458,0.050404613,0.059849546,0.02287667,0.046868696,0.046868696
Soil Within Row_Low N,Soil Within Row,0.060095295,0.037891602,0.02308517,0.090661108,0.052840977,0.041048243,0.019583085,0.069410363,0.069410363
Soil Within Row_Full N,Soil Within Row,0.062084839,0.053064471,0.040193946,0.070825964,0.081251005,0.046244193,0.025207951,0.068194319,0.068194319
Soil Within Row_Low N,Soil Within Row,0.052895882,0.063943756,0.052226314,0.055574155,0.090056913,0.03046535,0.032474054,0.043521928,0.043521928
Soil Within Row_Full N,Soil Within Row,0.061077336,0.04506967,0.036398197,0.05265721,0.115116955,0.049216897,0.018583973,0.049405407,0.049405407
Soil Within Row_Full N,Soil Within Row,0.069542208,0.047465454,0.028570934,0.050059667,0.103656111,0.059813908,0.027913734,0.034805693,0.034805693
Soil Within Row_Low N,Soil Within Row,0.060846561,0.058201058,0.026455026,0.07010582,0.12037037,0.05026455,0.025132275,0.01984127,0.01984127
Soil Within Row_Full N,Soil Within Row,0.057798814,0.053182066,0.03136883,0.054291517,0.092558626,0.036889243,0.02936466,0.034911915,0.034911915
Soil Within Row_Low N,Soil Within Row,0.094308815,0.054017837,0.033343093,0.066573578,0.082349894,0.054817351,0.022949417,0.047542903,0.047542903
Soil Within Row_Full N,Soil Within Row,0.083333333,0.060098761,0.042044871,0.05160701,0.10197237,0.033567392,0.027815836,0.039904093,0.039904093
Soil Within Row_Low N,Soil Within Row,0.066826969,0.060327588,0.040853252,0.052506904,0.100835635,0.027878297,0.030723264,0.037413104,0.037413104
Soil Within Row_Full N,Soil Within Row,0.069913762,0.053827653,0.026511445,0.071303807,0.060229174,0.038912107,0.031550357,0.039012702,0.039012702
Soil Within Row_Low N,Soil Within Row,0.056017718,0.045447998,0.021994742,0.07019771,0.049724503,0.047401685,0.023489268,0.04823898,0.04823898
Soil Within Row_Full N,Soil Within Row,0.080319977,0.049655495,0.023123034,0.078406628,0.043864559,0.059863419,0.026858137,0.031376899,0.031376899
Soil Within Row_Low N,Soil Within Row,0.097629416,0.055434884,0.024667172,0.070099043,0.053538209,0.055637543,0.032955384,0.040651209,0.040651209
Soil Within Row_Full N,Soil Within Row,0.061462475,0.050302499,0.026780526,0.083047545,0.054472536,0.04264034,0.025401907,0.040880037,0.040880037
Soil Within Row_Low N,Soil Within Row,0.064111298,0.044163171,0.023103494,0.067995745,0.049075502,0.031649276,0.023976,0.033693093,0.033693093
Soil Within Row_Full N,Soil Within Row,0.05478836,0.052338159,0.020136622,0.047236158,0.078119548,0.035194504,0.028642542,0.030278594,0.030278594
Soil Within Row_Low N,Soil Within Row,0.071034117,0.053936404,0.0432749,0.070061316,0.101593821,0.042410188,0.02245303,0.054702854,0.054702854
Soil Within Row_Full N,Soil Within Row,0.064534531,0.056989861,0.043979905,0.069963013,0.08840145,0.030160278,0.026443148,0.039784333,0.039784333
Soil Within Row_Low N,Soil Within Row,0.057102391,0.064689815,0.035025797,0.069163585,0.070737273,0.023953779,0.034430044,0.04652496,0.04652496
Soil Within Row_Full N,Soil Within Row,0.065941304,0.046847682,0.02788417,0.067559546,0.094183276,0.03625186,0.025761753,0.029421092,0.029404829
Soil Within Row_Low N,Soil Within Row,0.091362859,0.051982792,0.030500248,0.055622966,0.092286691,0.043902708,0.025908665,0.031741217,0.031741217
Soil Within Row_Full N,Soil Within Row,0.077156873,0.052472586,0.037007954,0.073119809,0.094783227,0.032536698,0.027391059,0.031668314,0.031668314
Soil Within Row_Low N,Soil Within Row,0.065345692,0.054726092,0.037196352,0.06673327,0.093892805,0.049222031,0.023884849,0.046539379,0.046539379
Soil Within Row_Full N,Soil Within Row,0.076494736,0.056119342,0.03673266,0.046738434,0.100263393,0.033402675,0.029954045,0.071519533,0.071519533
Soil Within Row_Low N,Soil Within Row,0.05694589,0.040855879,0.031282518,0.095135276,0.065309573,0.035431842,0.022294485,0.042872008,0.042872008
Soil Within Row_Full N,Soil Within Row,0.07454556,0.051707061,0.027771304,0.066787074,0.070884798,0.03785054,0.025052435,0.027111008,0.027111008
Soil Within Row_Low N,Soil Within Row,0.067061261,0.044528868,0.022139386,0.099835652,0.054913777,0.068871475,0.018792873,0.047434737,0.047434737
Soil Within Row_Full N,Soil Within Row,0.088788937,0.049339612,0.032292534,0.08593119,0.068051638,0.048246213,0.026142167,0.051240635,0.051240635
Soil Within Row_Low N,Soil Within Row,0.104819575,0.058221558,0.025763519,0.08378536,0.052533612,0.056344217,0.028104204,0.035094306,0.035094306
