id	SampleType	GrowthCondtion	Genotype	SorghumType	Variety	GrowthCondtion_Variety	Variety_GrowthCondtion	SampleType_GrowthCondtion	GrowthCondtion_SampleType	SampleType_Variety	Variety_SampleType	Variety_SampleType_GrowthCondtion	SampleType_Variety_GrowthCondtion	shannon_entropy
CC0122LE9L0718177278	Leaf	Low N	E9	PI229841	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.910822077
CC0123FE13L0718177300	Leaf	Full N	E13	PI297130	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.167774452
CC0201FG1L0718176042	Leaf	Full N	G1	BTx623	Grain	Full N_Grain	Grain_Full N	Leaf_Full N	Full N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Full N	Leaf_Grain_Full N	2.772342291
CC0203FE10L0718177416	Leaf	Full N	E10	PI297155	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	5.675029353
CC0204FS2L0718177417	Leaf	Full N	S2	SanChiSan	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	2.935345246
CC0205FE17L0718176043	Leaf	Full N	E17	PI655972	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.806514645
CC0205LE17L0718176040	Leaf	Low N	E17	PI655972	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.866750674
CC0206FS10L0718177418	Leaf	Full N	S10	China17	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	5.370061138
CC0206LS10L0718177305	Leaf	Low N	S10	China17	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	4.762362816
CC0207FS4L0718177419	Leaf	Full N	S4	Atlas	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	5.257863327
CC0207LS4L0718177306	Leaf	Low N	S4	Atlas	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	2.776248115
CC0208FE9L0718177420	Leaf	Full N	E9	PI229841	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	4.685791892
CC0209FE1L0718177421	Leaf	Full N	E1	PI329311	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	5.32897969
CC0210FE15L0718177422	Leaf	Full N	E15	PI152730	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	5.603814614
CC0212LE6L0718177403	Leaf	Low N	E6	PI585954	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	4.515465482
CC0213FS6L0718177425	Leaf	Full N	S6	ChineseAmber	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	4.862908274
CC0213LS6L0718177404	Leaf	Low N	S6	ChineseAmber	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	6.236119137
CC0214FE3L0718177426	Leaf	Full N	E3	PI505735	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	4.180605535
CC0215FE18L0718177427	Leaf	Full N	E18	PI510757	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.298403666
CC0215LE18L0718177406	Leaf	Low N	E18	PI510757	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	5.133350049
CC0216FE4L0718177428	Leaf	Full N	E4	PI329632	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.645722655
CC0216LE4L0718177407	Leaf	Low N	E4	PI329632	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	4.342513725
CC0217LE8L0718177408	Leaf	Low N	E8	M81e	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.886926294
CC0218LS3L0718177409	Leaf	Low N	S3	ICSV700	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	6.560850454
CC0220LE14L0718176041	Leaf	Low N	E14	Grassl	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.05344749
CC0221FE13L0718177432	Leaf	Full N	E13	PI297130	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	5.16692144
CC0221LE13L0718177411	Leaf	Low N	E13	PI297130	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.517406211
CC0222FE11L0718177433	Leaf	Full N	E11	PI506069	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.101199052
CC0222LE11L0718177412	Leaf	Low N	E11	PI506069	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.833890178
CC0223FE7L0718177434	Leaf	Full N	E7	NTJ2	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	7.574013129
CC0223LE7L0718177413	Leaf	Low N	E7	NTJ2	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.407453599
CC0301FG1L0718176045	Leaf	Full N	G1	BTx623	Grain	Full N_Grain	Grain_Full N	Leaf_Full N	Full N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Full N	Leaf_Grain_Full N	2.39285771
CC0304FS10L0718177437	Leaf	Full N	S10	China17	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	4.358919909
CC0305FS2L0718177438	Leaf	Full N	S2	SanChiSan	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	2.422997206
CC0306FE10L0718177439	Leaf	Full N	E10	PI297155	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.916136481
CC0307FS3L0718177440	Leaf	Full N	S3	ICSV700	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	2.993545374
CC0307LS3L0718177461	Leaf	Low N	S3	ICSV700	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	4.797691515
CC0308FE9L0718177441	Leaf	Full N	E9	PI229841	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	4.481830563
CC0310LE13L0718177464	Leaf	Low N	E13	PI297130	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	4.776880807
CC0311FE14L0718176047	Leaf	Full N	E14	Grassl	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.275727571
CC0311LE14L0718176050	Leaf	Low N	E14	Grassl	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.408378875
CC0312FS5L0718177444	Leaf	Full N	S5	Leoti	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	4.835773229
CC0313FE11L0718177445	Leaf	Full N	E11	PI506069	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	7.834920402
CC0314LS8L0718177467	Leaf	Low N	S8	Rio	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	8.38381133
CC0316FE8L0718177448	Leaf	Full N	E8	M81e	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	4.664442487
CC0321FE1L0718177453	Leaf	Full N	E1	PI329311	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	5.382975699
CC0321LE1L0718177474	Leaf	Low N	E1	PI329311	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.904570091
CC0322FE6L0718177454	Leaf	Full N	E6	PI585954	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	4.226458495
CC0322LE6L0718177475	Leaf	Low N	E6	PI585954	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.700962798
CC0323FE3L0718177455	Leaf	Full N	E3	PI505735	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	4.421579278
CC0402LG1L0718177479	Leaf	Low N	G1	BTx623	Grain	Low N_Grain	Grain_Low N	Leaf_Low N	Low N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Low N	Leaf_Grain_Low N	2.518919742
CC0403LE17L0718177480	Leaf	Low N	E17	PI655972	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	5.523937027
CC0404FE10L0718177505	Leaf	Full N	E10	PI297155	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	4.191315424
CC0406FS2L0718177507	Leaf	Full N	S2	SanChiSan	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	2.752370986
CC0408FS4L0718177509	Leaf	Full N	S4	Atlas	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	3.353523656
CC0410FS5L0718177511	Leaf	Full N	S5	Leoti	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	7.437202498
CC0412LE15L0718177489	Leaf	Low N	E15	PI152730	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.805594573
CC0413FE6L0718177514	Leaf	Full N	E6	PI585954	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	5.983105681
CC0420FE13L0718177521	Leaf	Full N	E13	PI297130	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	5.241395002
CC0422FE14L0718177523	Leaf	Full N	E14	Grassl	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	2.670782548
CC0422LE14L0718177499	Leaf	Low N	E14	Grassl	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.814387406
CC0423FE3L0718177524	Leaf	Full N	E3	PI505735	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.177521674
CC0424FE11L0718177525	Leaf	Full N	E11	PI506069	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	4.120633719
CC0501LG1L0718176054	Leaf	Low N	G1	BTx623	Grain	Low N_Grain	Grain_Low N	Leaf_Low N	Low N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Low N	Leaf_Grain_Low N	2.877245962
CC0502LG3L0718177547	Leaf	Low N	G3	Btx642	Grain	Low N_Grain	Grain_Low N	Leaf_Low N	Low N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Low N	Leaf_Grain_Low N	6.41922755
CC0505FE17L0718176052	Leaf	Full N	E17	PI655972	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.478104495
CC0506LE10L0718177550	Leaf	Low N	E10	PI297155	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.522364243
CC0508LE5L0718177552	Leaf	Low N	E5	PI35038	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	8.637324433
CC0510LE9L0718177554	Leaf	Low N	E9	PI229841	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.822696869
CC0511LE7L0718177555	Leaf	Low N	E7	NTJ2	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	4.221811496
CC0512FE14L0718176053	Leaf	Full N	E14	Grassl	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.458804025
CC0513FS3L0718177535	Leaf	Full N	S3	ICSV700	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	3.414728435
CC0513LS3L0718177556	Leaf	Low N	S3	ICSV700	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	5.433008844
CC0514FE6L0718177536	Leaf	Full N	E6	PI585954	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	2.649984047
CC0516FE11L0718177538	Leaf	Full N	E11	PI506069	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.926356926
CC0516LE11L0718177559	Leaf	Low N	E11	PI506069	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.622031187
CC0518FE3L0718177540	Leaf	Full N	E3	PI505735	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	2.919778502
CC0519FS6L0718177541	Leaf	Full N	S6	ChineseAmber	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	2.490543815
CC0522FE18L0718177544	Leaf	Full N	E18	PI510757	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	2.889576739
CC0522LE18L0718177565	Leaf	Low N	E18	PI510757	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.537341842
CC0523LS8L0718177566	Leaf	Low N	S8	Rio	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	5.012544904
CC0601LG3L0718177394	Leaf	Low N	G3	Btx642	Grain	Low N_Grain	Grain_Low N	Leaf_Low N	Low N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Low N	Leaf_Grain_Low N	3.249503986
CC0602FG1L0718176057	Leaf	Full N	G1	BTx623	Grain	Full N_Grain	Grain_Full N	Leaf_Full N	Full N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Full N	Leaf_Grain_Full N	2.788469243
CC0602LG1L0718176060	Leaf	Low N	G1	BTx623	Grain	Low N_Grain	Grain_Low N	Leaf_Low N	Low N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Low N	Leaf_Grain_Low N	2.663742284
CC0603FS2L0718177569	Leaf	Full N	S2	SanChiSan	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	3.578047253
CC0604FE10L0718177570	Leaf	Full N	E10	PI297155	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.945484575
CC0605FE17L0718176058	Leaf	Full N	E17	PI655972	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	2.725278481
CC0612FE14L0718176059	Leaf	Full N	E14	Grassl	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.375339213
CC0612LE14L0718176062	Leaf	Low N	E14	Grassl	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.950666217
CC0613FS3L0718177577	Leaf	Full N	S3	ICSV700	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	1.710784748
CC0620FE6L0718177399	Leaf	Full N	E6	PI585954	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	2.137040214
CC0620LE6L0718177378	Leaf	Low N	E6	PI585954	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	1.336783427
CC0621FE13L0718177398	Leaf	Full N	E13	PI297130	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	2.53421467
CC0621LE13L0718177377	Leaf	Low N	E13	PI297130	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.740010672
CC0703LS10L0718177371	Leaf	Low N	S10	China17	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	4.516688059
CC0712LE13L0718177362	Leaf	Low N	E13	PI297130	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.553951092
CC0715LE11L0718177359	Leaf	Low N	E11	PI506069	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	0.865866346
CC0722LE14L0718177352	Leaf	Low N	E14	Grassl	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	2.919925298
CC0724LE7L0718177350	Leaf	Low N	E7	NTJ2	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.757755286
CC0802LG1L0718176066	Leaf	Low N	G1	BTx623	Grain	Low N_Grain	Grain_Low N	Leaf_Low N	Low N_Leaf	Leaf_Grain	Grain_Leaf	Grain_Leaf_Low N	Leaf_Grain_Low N	2.874236895
CC0806LS10L0718177774	Leaf	Low N	S10	China17	Sweet	Low N_Sweet	Sweet_Low N	Leaf_Low N	Low N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Low N	Leaf_Sweet_Low N	3.637753954
CC0807FE9L0718177321	Leaf	Full N	E9	PI229841	Energy	Full N_Energy	Energy_Full N	Leaf_Full N	Full N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Full N	Leaf_Energy_Full N	3.272327312
CC0807LE9L0718177775	Leaf	Low N	E9	PI229841	Energy	Low N_Energy	Energy_Low N	Leaf_Low N	Low N_Leaf	Leaf_Energy	Energy_Leaf	Energy_Leaf_Low N	Leaf_Energy_Low N	3.883982874
CC0812FS6L0718177316	Leaf	Full N	S6	ChineseAmber	Sweet	Full N_Sweet	Sweet_Full N	Leaf_Full N	Full N_Leaf	Leaf_Sweet	Sweet_Leaf	Sweet_Leaf_Full N	Leaf_Sweet_Full N	2.934033463
