SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Variety	Plate	Race	Race_info	Class	shannon_entropy	faith_pd
CC0111FE15Z0718176142	71817	RHZ	CentralCity	1	11	Full N	E15	PI152730	Energy	66	Caudatum/bicolor	Intermediate	Sensitive	10.31419604	283.7562589
CC0705FE17Z0718177686	71817	RHZ	CentralCity	7	5	Full N	E17	PI655972	Energy	77	Kafir	Kafir	Sensitive	10.56251723	319.5873275
CC0605LE17Z0718175365	71817	RHZ	CentralCity	6	5	Low N	E17	PI655972	Energy	63	Kafir	Kafir	Sensitive	9.896350416	296.3883132
CC0605FE17Z0718175362	71817	RHZ	CentralCity	6	5	Full N	E17	PI655972	Energy	64	Kafir	Kafir	Sensitive	7.609158022	248.9342407
CC0505LE17Z0718175359	71817	RHZ	CentralCity	5	5	Low N	E17	PI655972	Energy	68	Kafir	Kafir	Sensitive	7.67757845	236.4884538
CC0505FE17Z0718175356	71817	RHZ	CentralCity	5	5	Full N	E17	PI655972	Energy	64	Kafir	Kafir	Sensitive	5.59387192	166.2316971
CC0403LE17Z0718176241	71817	RHZ	CentralCity	4	3	Low N	E17	PI655972	Energy	66	Kafir	Kafir	Sensitive	10.36986176	317.8304135
CC0303LE17Z0718175353	71817	RHZ	CentralCity	3	3	Low N	E17	PI655972	Energy	64	Kafir	Kafir	Sensitive	8.695542661	264.1189317
CC0303FE17Z0718175350	71817	RHZ	CentralCity	3	3	Full N	E17	PI655972	Energy	69	Kafir	Kafir	Sensitive	5.573903183	187.2260352
CC0104LE17Z0718175338	71817	RHZ	CentralCity	1	4	Low N	E17	PI655972	Energy	67	Kafir	Kafir	Sensitive	6.703494197	240.2982477
CC0808LE18Z0718177732	71817	RHZ	CentralCity	8	8	Low N	E18	PI510757	Energy	74	Durra	Durra	Sensitive	8.968591021	313.6184676
CC0808FE18Z0718177711	71817	RHZ	CentralCity	8	8	Full N	E18	PI510757	Energy	71	Durra	Durra	Sensitive	10.54767833	304.9731901
CC0623LE18Z0718177656	71817	RHZ	CentralCity	6	23	Low N	E18	PI510757	Energy	75	Durra	Durra	Sensitive	5.22322499	203.8053079
CC0623FE18Z0718177635	71817	RHZ	CentralCity	6	23	Full N	E18	PI510757	Energy	77	Durra	Durra	Sensitive	8.557360286	297.2723792
CC0522LE18Z0718177613	71817	RHZ	CentralCity	5	22	Low N	E18	PI510757	Energy	75	Durra	Durra	Sensitive	5.021450163	171.5505894
CC0522FE18Z0718177592	71817	RHZ	CentralCity	5	22	Full N	E18	PI510757	Energy	71	Durra	Durra	Sensitive	11.06303304	303.4151089
CC0407LE18Z0718176245	71817	RHZ	CentralCity	4	7	Low N	E18	PI510757	Energy	66	Durra	Durra	Sensitive	7.258500095	238.4793988
CC0407FE18Z0718176270	71817	RHZ	CentralCity	4	7	Full N	E18	PI510757	Energy	63	Durra	Durra	Sensitive	8.565990954	257.4238858
CC0215LE18Z0718176167	71817	RHZ	CentralCity	2	15	Low N	E18	PI510757	Energy	69	Durra	Durra	Sensitive	9.681925498	280.1961321
CC0215FE18Z0718176188	71817	RHZ	CentralCity	2	15	Full N	E18	PI510757	Energy	62	Durra	Durra	Sensitive	9.357204749	270.9485122
CC0124LE18Z0718176133	71817	RHZ	CentralCity	1	24	Low N	E18	PI510757	Energy	69	Durra	Durra	Sensitive	9.439469147	291.3837785
CC0124FE18Z0718176154	71817	RHZ	CentralCity	1	24	Full N	E18	PI510757	Energy	66	Durra	Durra	Sensitive	10.55925913	296.8824837
CC0824LE3Z0718177747	71817	RHZ	CentralCity	8	24	Low N	E3	PI505735	Energy	72	Caudatum	Caudatum	Sensitive	4.135416033	148.2065671
CC0824FE3Z0718177726	71817	RHZ	CentralCity	8	24	Full N	E3	PI505735	Energy	71	Caudatum	Caudatum	Sensitive	10.95098078	302.6355974
CC0708LE3Z0718177665	71817	RHZ	CentralCity	7	8	Low N	E3	PI505735	Energy	77	Caudatum	Caudatum	Sensitive	11.77041291	361.509124
CC0708FE3Z0718177689	71817	RHZ	CentralCity	7	8	Full N	E3	PI505735	Energy	70	Caudatum	Caudatum	Sensitive	9.571137383	274.5109283
CC0610LE3Z0718177644	71817	RHZ	CentralCity	6	10	Low N	E3	PI505735	Energy	76	Caudatum	Caudatum	Sensitive	7.345626828	258.9344195
CC0610FE3Z0718177623	71817	RHZ	CentralCity	6	10	Full N	E3	PI505735	Energy	70	Caudatum	Caudatum	Sensitive	10.7014805	305.4197094
CC0518LE3Z0718177609	71817	RHZ	CentralCity	5	18	Low N	E3	PI505735	Energy	77	Caudatum	Caudatum	Sensitive	6.403587614	239.4118412
CC0423LE3Z0718176261	71817	RHZ	CentralCity	4	23	Low N	E3	PI505735	Energy	63	Caudatum	Caudatum	Sensitive	8.257969928	263.2089235
CC0323FE3Z0718176216	71817	RHZ	CentralCity	3	23	Full N	E3	PI505735	Energy	67	Caudatum	Caudatum	Sensitive	9.621528653	269.004868
CC0214FE3Z0718176187	71817	RHZ	CentralCity	2	14	Full N	E3	PI505735	Energy	67	Caudatum	Caudatum	Sensitive	9.497985847	285.360282
CC0116LE3Z0718176125	71817	RHZ	CentralCity	1	16	Low N	E3	PI505735	Energy	62	Caudatum	Caudatum	Sensitive	6.249911027	217.1835515
CC0116FE3Z0718176146	71817	RHZ	CentralCity	1	16	Full N	E3	PI505735	Energy	67	Caudatum	Caudatum	Sensitive	6.647561758	239.3141604
CC0820LE4Z0718177744	71817	RHZ	CentralCity	8	20	Low N	E4	PI329632	Energy	74	Durra	Durra	Sensitive	7.500774469	246.183792
CC0820FE4Z0718177723	71817	RHZ	CentralCity	8	20	Full N	E4	PI329632	Energy	75	Durra	Durra	Sensitive	10.5448035	299.8548996
CC0714LE4Z0718177671	71817	RHZ	CentralCity	7	14	Low N	E4	PI329632	Energy	78	Durra	Durra	Sensitive	11.45832428	342.0881045
CC0624LE4Z0718177657	71817	RHZ	CentralCity	6	24	Low N	E4	PI329632	Energy	71	Durra	Durra	Sensitive	9.992597872	301.6847983
CC0509LE4Z0718177601	71817	RHZ	CentralCity	5	9	Low N	E4	PI329632	Energy	74	Durra	Durra	Sensitive	10.18683153	310.3056434
CC0509FE4Z0718176293	71817	RHZ	CentralCity	5	9	Full N	E4	PI329632	Energy	64	Durra	Durra	Sensitive	10.44367463	308.9529566
CC0416LE4Z0718176254	71817	RHZ	CentralCity	4	16	Low N	E4	PI329632	Energy	65	Durra	Durra	Sensitive	10.38940955	300.4947688
CC0416FE4Z0718176278	71817	RHZ	CentralCity	4	16	Full N	E4	PI329632	Energy	64	Durra	Durra	Sensitive	10.59778347	299.0759596
CC0315LE4Z0718176228	71817	RHZ	CentralCity	3	15	Low N	E4	PI329632	Energy	66	Durra	Durra	Sensitive	11.57565394	337.0487207
CC0315FE4Z0718176208	71817	RHZ	CentralCity	3	15	Full N	E4	PI329632	Energy	65	Durra	Durra	Sensitive	10.22740754	282.9746698
CC0216FE4Z0718176189	71817	RHZ	CentralCity	2	16	Full N	E4	PI329632	Energy	62	Durra	Durra	Sensitive	11.03637265	317.0878901
CC0112LE4Z0718176122	71817	RHZ	CentralCity	1	12	Low N	E4	PI329632	Energy	69	Durra	Durra	Sensitive	11.08274212	320.2080808
CC0112FE4Z0718176143	71817	RHZ	CentralCity	1	12	Full N	E4	PI329632	Energy	62	Durra	Durra	Sensitive	10.41416608	300.6122791
CC0814LE5Z0718177738	71817	RHZ	CentralCity	8	14	Low N	E5	PI35038	Energy	71	Caudatum	Caudatum	Tolerant	7.710102308	257.4194992
CC0814FE5Z0718177717	71817	RHZ	CentralCity	8	14	Full N	E5	PI35038	Energy	73	Caudatum	Caudatum	Tolerant	11.21713089	316.5093857
CC0710LE5Z0718177667	71817	RHZ	CentralCity	7	10	Low N	E5	PI35038	Energy	71	Caudatum	Caudatum	Tolerant	11.79571991	351.6975036
CC0608LE5Z0718177642	71817	RHZ	CentralCity	6	8	Low N	E5	PI35038	Energy	78	Caudatum	Caudatum	Tolerant	11.16705494	327.3411819
CC0608FE5Z0718177621	71817	RHZ	CentralCity	6	8	Full N	E5	PI35038	Energy	74	Caudatum	Caudatum	Tolerant	8.061638937	267.7350642
CC0508LE5Z0718177600	71817	RHZ	CentralCity	5	8	Low N	E5	PI35038	Energy	75	Caudatum	Caudatum	Tolerant	11.21563967	324.8223238
CC0508FE5Z0718176292	71817	RHZ	CentralCity	5	8	Full N	E5	PI35038	Energy	62	Caudatum	Caudatum	Tolerant	10.87108958	308.5281002
CC0421LE5Z0718176741	71817	RHZ	CentralCity	4	21	Low N	E5	PI35038	Energy	70	Caudatum	Caudatum	Tolerant	8.213519883	271.9409299
CC0421FE5Z0718176283	71817	RHZ	CentralCity	4	21	Full N	E5	PI35038	Energy	68	Caudatum	Caudatum	Tolerant	11.16998795	309.8095652
CC0319LE5Z0718176233	71817	RHZ	CentralCity	3	19	Low N	E5	PI35038	Energy	66	Caudatum	Caudatum	Tolerant	11.39713947	315.7029325
CC0319FE5Z0718176212	71817	RHZ	CentralCity	3	19	Full N	E5	PI35038	Energy	65	Caudatum	Caudatum	Tolerant	11.03643883	305.5822542
CC0219LE5Z0718176171	71817	RHZ	CentralCity	2	19	Low N	E5	PI35038	Energy	69	Caudatum	Caudatum	Tolerant	11.42956556	337.6225634
CC0110FE5Z0718176141	71817	RHZ	CentralCity	1	10	Full N	E5	PI35038	Energy	62	Caudatum	Caudatum	Tolerant	5.009470786	179.1122052
CC0810LE6Z0718177734	71817	RHZ	CentralCity	8	10	Low N	E6	PI585954	Energy	75	Guinea	Guinea	Sensitive	11.47810676	361.9493342
CC0709LE6Z0718177666	71817	RHZ	CentralCity	7	9	Low N	E6	PI585954	Energy	78	Guinea	Guinea	Sensitive	11.67896063	366.5952318
CC0709FE6Z0718177690	71817	RHZ	CentralCity	7	9	Full N	E6	PI585954	Energy	76	Guinea	Guinea	Sensitive	8.678768724	279.8846023
CC0620FE6Z0718177632	71817	RHZ	CentralCity	6	20	Full N	E6	PI585954	Energy	74	Guinea	Guinea	Sensitive	10.70980105	297.5250034
CC0514LE6Z0718177605	71817	RHZ	CentralCity	5	14	Low N	E6	PI585954	Energy	74	Guinea	Guinea	Sensitive	5.863603774	214.6732091
CC0514FE6Z0718177584	71817	RHZ	CentralCity	5	14	Full N	E6	PI585954	Energy	74	Guinea	Guinea	Sensitive	11.07872846	312.9559241
CC0413LE6Z0718176251	71817	RHZ	CentralCity	4	13	Low N	E6	PI585954	Energy	69	Guinea	Guinea	Sensitive	6.538366891	233.354078
CC0413FE6Z0718176275	71817	RHZ	CentralCity	4	13	Full N	E6	PI585954	Energy	64	Guinea	Guinea	Sensitive	9.885975903	297.7256405
CC0322FE6Z0718176215	71817	RHZ	CentralCity	3	22	Full N	E6	PI585954	Energy	64	Guinea	Guinea	Sensitive	10.66746432	298.468509
CC0212FE6Z0718176185	71817	RHZ	CentralCity	2	12	Full N	E6	PI585954	Energy	63	Guinea	Guinea	Sensitive	10.7467891	301.6315658
CC0115LE6Z0718176124	71817	RHZ	CentralCity	1	15	Low N	E6	PI585954	Energy	65	Guinea	Guinea	Sensitive	5.506508685	220.4171746
CC0115FE6Z0718176145	71817	RHZ	CentralCity	1	15	Full N	E6	PI585954	Energy	63	Guinea	Guinea	Sensitive	8.277675875	250.7233412
CC0817LE7Z0718177741	71817	RHZ	CentralCity	8	17	Low N	E7	NTJ2	Energy	78	Durra	Durra	Sensitive	8.509348027	273.3327521
CC0724FE7Z0718177705	71817	RHZ	CentralCity	7	24	Full N	E7	NTJ2	Energy	74	Durra	Durra	Sensitive	9.010567057	273.9193
CC0618FE7Z0718177630	71817	RHZ	CentralCity	6	18	Full N	E7	NTJ2	Energy	74	Durra	Durra	Sensitive	10.01826129	292.5756279
CC0511LE7Z0718177603	71817	RHZ	CentralCity	5	11	Low N	E7	NTJ2	Energy	75	Durra	Durra	Sensitive	4.470701674	128.2614729
CC0511FE7Z0718176295	71817	RHZ	CentralCity	5	11	Full N	E7	NTJ2	Energy	64	Durra	Durra	Sensitive	8.866157746	272.5244676
CC0411LE7Z0718176249	71817	RHZ	CentralCity	4	11	Low N	E7	NTJ2	Energy	64	Durra	Durra	Sensitive	7.607780637	266.9797622
CC0411FE7Z0718176273	71817	RHZ	CentralCity	4	11	Full N	E7	NTJ2	Energy	64	Durra	Durra	Sensitive	8.835874277	266.921392
CC0320FE7Z0718176213	71817	RHZ	CentralCity	3	20	Full N	E7	NTJ2	Energy	66	Durra	Durra	Sensitive	9.427101515	266.2189021
CC0223LE7Z0718176174	71817	RHZ	CentralCity	2	23	Low N	E7	NTJ2	Energy	66	Durra	Durra	Sensitive	10.93823343	319.1091328
CC0118LE7Z0718176127	71817	RHZ	CentralCity	1	18	Low N	E7	NTJ2	Energy	63	Durra	Durra	Sensitive	10.36323414	314.2496885
CC0118FE7Z0718176148	71817	RHZ	CentralCity	1	18	Full N	E7	NTJ2	Energy	68	Durra	Durra	Sensitive	4.77752576	177.9370747
CC0811LE8Z0718177735	71817	RHZ	CentralCity	8	11	Low N	E8	M81e	Energy	75	Caudatum/durra	Intermediate	Sensitive	10.64391121	301.0964764
CC0723LE8Z0718177680	71817	RHZ	CentralCity	7	23	Low N	E8	M81e	Energy	75	Caudatum/durra	Intermediate	Sensitive	5.181749003	194.3783957
CC0723FE8Z0718177704	71817	RHZ	CentralCity	7	23	Full N	E8	M81e	Energy	74	Caudatum/durra	Intermediate	Sensitive	9.888662261	267.871938
CC0616LE8Z0718177649	71817	RHZ	CentralCity	6	16	Low N	E8	M81e	Energy	76	Caudatum/durra	Intermediate	Sensitive	6.539721231	250.9212597
CC0616FE8Z0718177628	71817	RHZ	CentralCity	6	16	Full N	E8	M81e	Energy	75	Caudatum/durra	Intermediate	Sensitive	11.37960056	341.7445037
CC0521LE8Z0718177612	71817	RHZ	CentralCity	5	21	Low N	E8	M81e	Energy	75	Caudatum/durra	Intermediate	Sensitive	7.383650271	270.5455142
CC0521FE8Z0718177591	71817	RHZ	CentralCity	5	21	Full N	E8	M81e	Energy	73	Caudatum/durra	Intermediate	Sensitive	10.96636101	313.2926879
CC0419LE8Z0718176257	71817	RHZ	CentralCity	4	19	Low N	E8	M81e	Energy	66	Caudatum/durra	Intermediate	Sensitive	8.152223133	257.4852663
CC0217LE8Z0718176169	71817	RHZ	CentralCity	2	17	Low N	E8	M81e	Energy	69	Caudatum/durra	Intermediate	Sensitive	11.39700431	341.5618248
CC0217FE8Z0718176190	71817	RHZ	CentralCity	2	17	Full N	E8	M81e	Energy	64	Caudatum/durra	Intermediate	Sensitive	9.491451621	283.8484569
CC0107LE8Z0718176117	71817	RHZ	CentralCity	1	7	Low N	E8	M81e	Energy	63	Caudatum/durra	Intermediate	Sensitive	9.811628155	302.1547384
CC0107FE8Z0718176138	71817	RHZ	CentralCity	1	7	Full N	E8	M81e	Energy	65	Caudatum/durra	Intermediate	Sensitive	7.68987312	232.9541286
CC0807LE9Z0718177731	71817	RHZ	CentralCity	8	7	Low N	E9	PI229841	Energy	75	Kafir	Kafir	Tolerant	11.04624377	339.6734636
CC0720FE9Z0718177701	71817	RHZ	CentralCity	7	20	Full N	E9	PI229841	Energy	75	Kafir	Kafir	Tolerant	10.33468237	301.6069645
CC0611LE9Z0718177645	71817	RHZ	CentralCity	6	11	Low N	E9	PI229841	Energy	76	Kafir	Kafir	Tolerant	8.204282309	264.7143772
CC0611FE9Z0718177624	71817	RHZ	CentralCity	6	11	Full N	E9	PI229841	Energy	72	Kafir	Kafir	Tolerant	10.86012208	296.4812575
CC0417LE9Z0718176256	71817	RHZ	CentralCity	4	17	Low N	E9	PI229841	Energy	62	Kafir	Kafir	Tolerant	8.411483855	281.2130976
CC0417FE9Z0718176279	71817	RHZ	CentralCity	4	17	Full N	E9	PI229841	Energy	65	Kafir	Kafir	Tolerant	7.758084802	247.0205176
CC0308LE9Z0718176223	71817	RHZ	CentralCity	3	8	Low N	E9	PI229841	Energy	64	Kafir	Kafir	Tolerant	11.8909114	356.6663598
CC0208FE9Z0718176181	71817	RHZ	CentralCity	2	8	Full N	E9	PI229841	Energy	63	Kafir	Kafir	Tolerant	10.14194066	281.9820049
