#SampleID	SampleType	Location	Rep	GrowthCondtion	SampleType_GrowthCondtion
CC0807LE9S0718176395	Soil	CentralCity	8	Low N	2Soil_Low N
CC0101FG1S0718175376	Soil	CentralCity	1	Full N	2Soil_Full N
CC0101LG1S0718175373	Soil	CentralCity	1	Low N	2Soil_Low N
CC0201FG1S0718175382	Soil	CentralCity	2	Full N	2Soil_Full N
CC0201LG1S0718175379	Soil	CentralCity	2	Low N	2Soil_Low N
CC0301FG1S0718175385	Soil	CentralCity	3	Full N	2Soil_Full N
CC0301LG1S0718175388	Soil	CentralCity	3	Low N	2Soil_Low N
CC0402FG1S0718176328	Soil	CentralCity	4	Full N	2Soil_Full N
CC0402LG1S0718176318	Soil	CentralCity	4	Low N	2Soil_Low N
CC0501FG1S0718175391	Soil	CentralCity	5	Full N	2Soil_Full N
CC0501LG1S0718175394	Soil	CentralCity	5	Low N	2Soil_Low N
CC0602FG1S0718175397	Soil	CentralCity	6	Full N	2Soil_Full N
CC0602LG1S0718175400	Soil	CentralCity	6	Low N	2Soil_Low N
CC0702FG1S0718176376	Soil	CentralCity	7	Full N	2Soil_Full N
CC0702LG1S0718176366	Soil	CentralCity	7	Low N	2Soil_Low N
CC0802FG1S0718175403	Soil	CentralCity	8	Full N	2Soil_Full N
CC0802LG1S0718175406	Soil	CentralCity	8	Low N	2Soil_Low N
CC0103FS10S0718177755	Soil	CentralCity	1	Full N	2Soil_Full N
CC0103LS10S0718177748	Soil	CentralCity	1	Low N	2Soil_Low N
CC0206FS10S0718176298	Soil	CentralCity	2	Full N	2Soil_Full N
CC0206LS10S0718177762	Soil	CentralCity	2	Low N	2Soil_Low N
CC0304FS10S0718176304	Soil	CentralCity	3	Full N	2Soil_Full N
CC0304LS10S0718176311	Soil	CentralCity	3	Low N	2Soil_Low N
CC0405FS10S0718176330	Soil	CentralCity	4	Full N	2Soil_Full N
CC0405LS10S0718176320	Soil	CentralCity	4	Low N	2Soil_Low N
CC0504FS10S0718176339	Soil	CentralCity	5	Full N	2Soil_Full N
CC0504LS10S0718176346	Soil	CentralCity	5	Low N	2Soil_Low N
CC0606FS10S0718176353	Soil	CentralCity	6	Full N	2Soil_Full N
CC0606LS10S0718176360	Soil	CentralCity	6	Low N	2Soil_Low N
CC0703FS10S0718176377	Soil	CentralCity	7	Full N	2Soil_Full N
CC0703LS10S0718176367	Soil	CentralCity	7	Low N	2Soil_Low N
CC0806FS10S0718176387	Soil	CentralCity	8	Full N	2Soil_Full N
CC0806LS10S0718178579	Soil	CentralCity	8	Low N	2Soil_Low N
CC0105FS2S0718177756	Soil	CentralCity	1	Full N	2Soil_Full N
CC0105LS2S0718177749	Soil	CentralCity	1	Low N	2Soil_Low N
CC0204FS2S0718176297	Soil	CentralCity	2	Full N	2Soil_Full N
CC0305FS2S0718176305	Soil	CentralCity	3	Full N	2Soil_Full N
CC0305LS2S0718176312	Soil	CentralCity	3	Low N	2Soil_Low N
CC0406FS2S0718176331	Soil	CentralCity	4	Full N	2Soil_Full N
CC0406LS2S0718176321	Soil	CentralCity	4	Low N	2Soil_Low N
CC0503FS2S0718176338	Soil	CentralCity	5	Full N	2Soil_Full N
CC0503LS2S0718176345	Soil	CentralCity	5	Low N	2Soil_Low N
CC0603FS2S0718176352	Soil	CentralCity	6	Full N	2Soil_Full N
CC0603LS2S0718176359	Soil	CentralCity	6	Low N	2Soil_Low N
CC0706FS2S0718176379	Soil	CentralCity	7	Full N	2Soil_Full N
CC0706LS2S0718176369	Soil	CentralCity	7	Low N	2Soil_Low N
CC0803FS2S0718176386	Soil	CentralCity	8	Full N	2Soil_Full N
CC0803LS2S0718176393	Soil	CentralCity	8	Low N	2Soil_Low N
CC0109FS5S0718177757	Soil	CentralCity	1	Full N	2Soil_Full N
CC0109LS5S0718177750	Soil	CentralCity	1	Low N	2Soil_Low N
CC0224FS5S0718176303	Soil	CentralCity	2	Full N	2Soil_Full N
CC0224LS5S0718177767	Soil	CentralCity	2	Low N	2Soil_Low N
CC0312FS5S0718176307	Soil	CentralCity	3	Full N	2Soil_Full N
CC0312LS5S0718176314	Soil	CentralCity	3	Low N	2Soil_Low N
CC0410FS5S0718176332	Soil	CentralCity	4	Full N	2Soil_Full N
CC0410LS5S0718176322	Soil	CentralCity	4	Low N	2Soil_Low N
CC0524FS5S0718176344	Soil	CentralCity	5	Full N	2Soil_Full N
CC0524LS5S0718176351	Soil	CentralCity	5	Low N	2Soil_Low N
CC0614FS5S0718176355	Soil	CentralCity	6	Full N	2Soil_Full N
CC0614LS5S0718176362	Soil	CentralCity	6	Low N	2Soil_Low N
CC0707FS5S0718176380	Soil	CentralCity	7	Full N	2Soil_Full N
CC0707LS5S0718176370	Soil	CentralCity	7	Low N	2Soil_Low N
CC0822FS5S0718176392	Soil	CentralCity	8	Full N	2Soil_Full N
CC0822LS5S0718176399	Soil	CentralCity	8	Low N	2Soil_Low N
CC0119FE1Z0718176149	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0119LE1Z0718176128	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0209FE1Z0718176182	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0209LE1Z0718176161	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0321FE1Z0718176214	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0321LE1Z0718176235	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0415FE1Z0718176277	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0415LE1Z0718176253	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0517FE1Z0718177587	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0517LE1Z0718177608	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0615FE1Z0718177627	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0615LE1Z0718177648	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0716FE1Z0718177697	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0716LE1Z0718177673	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0815FE1Z0718177718	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0815LE1Z0718177739	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0106FE10Z0718176137	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0106LE10Z0718176116	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0203FE10Z0718176177	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0203LE10Z0718176156	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0306FE10Z0718176200	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0306LE10Z0718176221	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0404FE10Z0718176266	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0404LE10Z0718176242	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0506FE10Z0718176290	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0506LE10Z0718177598	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0604FE10Z0718177618	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0604LE10Z0718177639	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0704FE10Z0718177685	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0704LE10Z0718177661	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0805FE10Z0718177708	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0805LE10Z0718177729	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0121FE11Z0718176151	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0121LE11Z0718176130	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0222FE11Z0718176194	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0222LE11Z0718176173	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0313FE11Z0718176206	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0313LE11Z0718176227	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0424FE11Z0718176286	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0424LE11Z0718176262	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0516FE11Z0718177586	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0516LE11Z0718177607	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0619FE11Z0718177631	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0619LE11Z0718177652	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0715FE11Z0718177696	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0715LE11Z0718177672	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0819FE11Z0718177722	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0819LE11Z0718177743	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0123FE13Z0718176153	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0123LE13Z0718176132	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0221FE13Z0718176193	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0221LE13Z0718176172	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0310FE13Z0718176204	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0310LE13Z0718176225	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0420FE13Z0718176282	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0420LE13Z0718176258	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0520FE13Z0718177590	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0520LE13Z0718177611	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0621FE13Z0718177633	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0621LE13Z0718177654	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0712FE13Z0718177693	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0712LE13Z0718177669	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0823FE13Z0718177725	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0823LE13Z0718177746	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0113FE14Z0718175342	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0113LE14Z0718175339	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0220FE14Z0718175348	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0220LE14Z0718175345	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0311FE14Z0718175351	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0311LE14Z0718175354	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0422FE14Z0718176284	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0422LE14Z0718176260	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0512FE14Z0718175357	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0512LE14Z0718175360	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0612FE14Z0718175363	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0612LE14Z0718175366	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0722FE14Z0718177703	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0722LE14Z0718177679	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0821FE14Z0718175369	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0821LE14Z0718175372	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0111FE15Z0718176142	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0111LE15Z0718176121	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0210FE15Z0718176183	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0210LE15Z0718176162	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0317FE15Z0718178576	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0317LE15Z0718176231	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0412FE15Z0718176274	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0412LE15Z0718176250	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0507FE15Z0718178577	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0507LE15Z0718177599	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0609FE15Z0718177622	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0609LE15Z0718177643	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0717FE15Z0718177698	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0717LE15Z0718177674	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0816FE15Z0718177719	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0816LE15Z0718177740	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0104FE17Z0718175341	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0104LE17Z0718175338	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0205FE17Z0718175347	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0205LE17Z0718175344	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0303FE17Z0718175350	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0303LE17Z0718175353	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0403FE17Z0718176265	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0403LE17Z0718176241	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0505FE17Z0718175356	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0505LE17Z0718175359	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0605FE17Z0718175362	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0605LE17Z0718175365	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0705FE17Z0718177686	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0705LE17Z0718177662	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0804FE17Z0718175368	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0124FE18Z0718176154	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0124LE18Z0718176133	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0215FE18Z0718176188	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0215LE18Z0718176167	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0318FE18Z0718176211	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0318LE18Z0718176232	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0407FE18Z0718176270	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0407LE18Z0718176245	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0522FE18Z0718177592	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0522LE18Z0718177613	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0623FE18Z0718177635	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0623LE18Z0718177656	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0713FE18Z0718177694	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0713LE18Z0718177670	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0808FE18Z0718177711	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0808LE18Z0718177732	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0116FE3Z0718176146	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0116LE3Z0718176125	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0214FE3Z0718176187	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0214LE3Z0718176166	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0323FE3Z0718176216	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0323LE3Z0718176237	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0423FE3Z0718176285	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0423LE3Z0718176261	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0518FE3Z0718177588	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0518LE3Z0718177609	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0610FE3Z0718177623	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0610LE3Z0718177644	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0708FE3Z0718177689	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0708LE3Z0718177665	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0824FE3Z0718177726	RHZ	CentralCity	8	Full N	3RHZ_Full N
CC0824LE3Z0718177747	RHZ	CentralCity	8	Low N	3RHZ_Low N
CC0112FE4Z0718176143	RHZ	CentralCity	1	Full N	3RHZ_Full N
CC0112LE4Z0718176122	RHZ	CentralCity	1	Low N	3RHZ_Low N
CC0216FE4Z0718176189	RHZ	CentralCity	2	Full N	3RHZ_Full N
CC0216LE4Z0718176168	RHZ	CentralCity	2	Low N	3RHZ_Low N
CC0315FE4Z0718176208	RHZ	CentralCity	3	Full N	3RHZ_Full N
CC0315LE4Z0718176228	RHZ	CentralCity	3	Low N	3RHZ_Low N
CC0416FE4Z0718176278	RHZ	CentralCity	4	Full N	3RHZ_Full N
CC0416LE4Z0718176254	RHZ	CentralCity	4	Low N	3RHZ_Low N
CC0509FE4Z0718176293	RHZ	CentralCity	5	Full N	3RHZ_Full N
CC0509LE4Z0718177601	RHZ	CentralCity	5	Low N	3RHZ_Low N
CC0624FE4Z0718177636	RHZ	CentralCity	6	Full N	3RHZ_Full N
CC0624LE4Z0718177657	RHZ	CentralCity	6	Low N	3RHZ_Low N
CC0714FE4Z0718177695	RHZ	CentralCity	7	Full N	3RHZ_Full N
CC0714LE4Z0718177671	RHZ	CentralCity	7	Low N	3RHZ_Low N
CC0820FE4Z0718177723	RHZ	CentralCity	8	Full N	3RHZ_Full N
