SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Plate	Variety	GrowthCondtion_Variety	Variety_GrowthCondtion
CC0111FE15Z0718176142	71817	Rhizosphere	CentralCity	1	11	Full N	E15	PI152730	66	Energy	Full N_Energy	Energy_Full N
CC0111LE15Z0718176121	71817	Rhizosphere	CentralCity	1	11	Low N	E15	PI152730	65	Energy	Low N_Energy	Energy_Low N
CC0112FE4Z0718176143	71817	Rhizosphere	CentralCity	1	12	Full N	E4	PI329632	62	Energy	Full N_Energy	Energy_Full N
CC0112LE4Z0718176122	71817	Rhizosphere	CentralCity	1	12	Low N	E4	PI329632	69	Energy	Low N_Energy	Energy_Low N
CC0113FE14Z0718175342	71817	Rhizosphere	CentralCity	1	13	Full N	E14	Grassl	63	Energy	Full N_Energy	Energy_Full N
CC0113LE14Z0718175339	71817	Rhizosphere	CentralCity	1	13	Low N	E14	Grassl	68	Energy	Low N_Energy	Energy_Low N
CC0114FS8Z0718176144	71817	Rhizosphere	CentralCity	1	14	Full N	S8	Rio	64	Sweet	Full N_Sweet	Sweet_Full N
CC0114LS8Z0718176123	71817	Rhizosphere	CentralCity	1	14	Low N	S8	Rio	69	Sweet	Low N_Sweet	Sweet_Low N
CC0115FE6Z0718176145	71817	Rhizosphere	CentralCity	1	15	Full N	E6	PI585954	63	Energy	Full N_Energy	Energy_Full N
CC0115LE6Z0718176124	71817	Rhizosphere	CentralCity	1	15	Low N	E6	PI585954	65	Energy	Low N_Energy	Energy_Low N
CC0116FE3Z0718176146	71817	Rhizosphere	CentralCity	1	16	Full N	E3	PI505735	67	Energy	Full N_Energy	Energy_Full N
CC0116LE3Z0718176125	71817	Rhizosphere	CentralCity	1	16	Low N	E3	PI505735	62	Energy	Low N_Energy	Energy_Low N
CC0117FS6Z0718176147	71817	Rhizosphere	CentralCity	1	17	Full N	S6	ChineseAmber	67	Sweet	Full N_Sweet	Sweet_Full N
CC0117LS6Z0718176126	71817	Rhizosphere	CentralCity	1	17	Low N	S6	ChineseAmber	64	Sweet	Low N_Sweet	Sweet_Low N
CC0118FE7Z0718176148	71817	Rhizosphere	CentralCity	1	18	Full N	E7	NTJ2	68	Energy	Full N_Energy	Energy_Full N
CC0118LE7Z0718176127	71817	Rhizosphere	CentralCity	1	18	Low N	E7	NTJ2	63	Energy	Low N_Energy	Energy_Low N
CC0119FE1Z0718176149	71817	Rhizosphere	CentralCity	1	19	Full N	E1	PI329311	68	Energy	Full N_Energy	Energy_Full N
CC0119LE1Z0718176128	71817	Rhizosphere	CentralCity	1	19	Low N	E1	PI329311	65	Energy	Low N_Energy	Energy_Low N
CC0120FS4Z0718176150	71817	Rhizosphere	CentralCity	1	20	Full N	S4	Atlas	68	Sweet	Full N_Sweet	Sweet_Full N
CC0120LS4Z0718176129	71817	Rhizosphere	CentralCity	1	20	Low N	S4	Atlas	69	Sweet	Low N_Sweet	Sweet_Low N
CC0121FE11Z0718176151	71817	Rhizosphere	CentralCity	1	21	Full N	E11	PI506069	67	Energy	Full N_Energy	Energy_Full N
CC0121LE11Z0718176130	71817	Rhizosphere	CentralCity	1	21	Low N	E11	PI506069	63	Energy	Low N_Energy	Energy_Low N
CC0122FE9Z0718176152	71817	Rhizosphere	CentralCity	1	22	Full N	E9	PI229841	64	Energy	Full N_Energy	Energy_Full N
CC0122LE9Z0718176131	71817	Rhizosphere	CentralCity	1	22	Low N	E9	PI229841	66	Energy	Low N_Energy	Energy_Low N
CC0123FE13Z0718176153	71817	Rhizosphere	CentralCity	1	23	Full N	E13	PI297130	68	Energy	Full N_Energy	Energy_Full N
CC0123LE13Z0718176132	71817	Rhizosphere	CentralCity	1	23	Low N	E13	PI297130	68	Energy	Low N_Energy	Energy_Low N
CC0124FE18Z0718176154	71817	Rhizosphere	CentralCity	1	24	Full N	E18	PI510757	66	Energy	Full N_Energy	Energy_Full N
CC0124LE18Z0718176133	71817	Rhizosphere	CentralCity	1	24	Low N	E18	PI510757	69	Energy	Low N_Energy	Energy_Low N
CC0201FG1Z0718175346	71817	Rhizosphere	CentralCity	2	1	Full N	G1	BTx623	66	Grain	Full N_Grain	Grain_Full N
CC0201LG1Z0718175343	71817	Rhizosphere	CentralCity	2	1	Low N	G1	BTx623	64	Grain	Low N_Grain	Grain_Low N
CC0202FG3Z0718176176	71817	Rhizosphere	CentralCity	2	2	Full N	G3	Btx642	65	Grain	Full N_Grain	Grain_Full N
CC0202LG3Z0718176155	71817	Rhizosphere	CentralCity	2	2	Low N	G3	Btx642	68	Grain	Low N_Grain	Grain_Low N
CC0203FE10Z0718176177	71817	Rhizosphere	CentralCity	2	3	Full N	E10	PI297155	68	Energy	Full N_Energy	Energy_Full N
CC0203LE10Z0718176156	71817	Rhizosphere	CentralCity	2	3	Low N	E10	PI297155	64	Energy	Low N_Energy	Energy_Low N
CC0204FS2Z0718176178	71817	Rhizosphere	CentralCity	2	4	Full N	S2	SanChiSan	63	Sweet	Full N_Sweet	Sweet_Full N
CC0204LS2Z0718176157	71817	Rhizosphere	CentralCity	2	4	Low N	S2	SanChiSan	67	Sweet	Low N_Sweet	Sweet_Low N
CC0205FE17Z0718175347	71817	Rhizosphere	CentralCity	2	5	Full N	E17	PI655972	63	Energy	Full N_Energy	Energy_Full N
CC0205LE17Z0718175344	71817	Rhizosphere	CentralCity	2	5	Low N	E17	PI655972	65	Energy	Low N_Energy	Energy_Low N
CC0206FS10Z0718176179	71817	Rhizosphere	CentralCity	2	6	Full N	S10	China17	69	Sweet	Full N_Sweet	Sweet_Full N
CC0206LS10Z0718176158	71817	Rhizosphere	CentralCity	2	6	Low N	S10	China17	66	Sweet	Low N_Sweet	Sweet_Low N
CC0207FS4Z0718176180	71817	Rhizosphere	CentralCity	2	7	Full N	S4	Atlas	67	Sweet	Full N_Sweet	Sweet_Full N
CC0207LS4Z0718176159	71817	Rhizosphere	CentralCity	2	7	Low N	S4	Atlas	67	Sweet	Low N_Sweet	Sweet_Low N
CC0208FE9Z0718176181	71817	Rhizosphere	CentralCity	2	8	Full N	E9	PI229841	63	Energy	Full N_Energy	Energy_Full N
CC0208LE9Z0718176160	71817	Rhizosphere	CentralCity	2	8	Low N	E9	PI229841	62	Energy	Low N_Energy	Energy_Low N
CC0209FE1Z0718176182	71817	Rhizosphere	CentralCity	2	9	Full N	E1	PI329311	64	Energy	Full N_Energy	Energy_Full N
CC0209LE1Z0718176161	71817	Rhizosphere	CentralCity	2	9	Low N	E1	PI329311	63	Energy	Low N_Energy	Energy_Low N
CC0210FE15Z0718176183	71817	Rhizosphere	CentralCity	2	10	Full N	E15	PI152730	67	Energy	Full N_Energy	Energy_Full N
CC0210LE15Z0718176162	71817	Rhizosphere	CentralCity	2	10	Low N	E15	PI152730	62	Energy	Low N_Energy	Energy_Low N
CC0211FS8Z0718176184	71817	Rhizosphere	CentralCity	2	11	Full N	S8	Rio	69	Sweet	Full N_Sweet	Sweet_Full N
CC0212FE6Z0718176185	71817	Rhizosphere	CentralCity	2	12	Full N	E6	PI585954	63	Energy	Full N_Energy	Energy_Full N
CC0212LE6Z0718176164	71817	Rhizosphere	CentralCity	2	12	Low N	E6	PI585954	67	Energy	Low N_Energy	Energy_Low N
CC0213FS6Z0718176186	71817	Rhizosphere	CentralCity	2	13	Full N	S6	ChineseAmber	69	Sweet	Full N_Sweet	Sweet_Full N
CC0213LS6Z0718176165	71817	Rhizosphere	CentralCity	2	13	Low N	S6	ChineseAmber	66	Sweet	Low N_Sweet	Sweet_Low N
CC0214FE3Z0718176187	71817	Rhizosphere	CentralCity	2	14	Full N	E3	PI505735	67	Energy	Full N_Energy	Energy_Full N
CC0215FE18Z0718176188	71817	Rhizosphere	CentralCity	2	15	Full N	E18	PI510757	62	Energy	Full N_Energy	Energy_Full N
CC0215LE18Z0718176167	71817	Rhizosphere	CentralCity	2	15	Low N	E18	PI510757	69	Energy	Low N_Energy	Energy_Low N
CC0216FE4Z0718176189	71817	Rhizosphere	CentralCity	2	16	Full N	E4	PI329632	62	Energy	Full N_Energy	Energy_Full N
CC0216LE4Z0718176168	71817	Rhizosphere	CentralCity	2	16	Low N	E4	PI329632	67	Energy	Low N_Energy	Energy_Low N
CC0217FE8Z0718176190	71817	Rhizosphere	CentralCity	2	17	Full N	E8	M81e	64	Energy	Full N_Energy	Energy_Full N
CC0217LE8Z0718176169	71817	Rhizosphere	CentralCity	2	17	Low N	E8	M81e	69	Energy	Low N_Energy	Energy_Low N
CC0218FS3Z0718176191	71817	Rhizosphere	CentralCity	2	18	Full N	S3	ICSV700	69	Sweet	Full N_Sweet	Sweet_Full N
CC0218LS3Z0718176170	71817	Rhizosphere	CentralCity	2	18	Low N	S3	ICSV700	68	Sweet	Low N_Sweet	Sweet_Low N
CC0219FE5Z0718176192	71817	Rhizosphere	CentralCity	2	19	Full N	E5	PI35038	64	Energy	Full N_Energy	Energy_Full N
CC0219LE5Z0718176171	71817	Rhizosphere	CentralCity	2	19	Low N	E5	PI35038	69	Energy	Low N_Energy	Energy_Low N
CC0220FE14Z0718175348	71817	Rhizosphere	CentralCity	2	20	Full N	E14	Grassl	67	Energy	Full N_Energy	Energy_Full N
CC0220LE14Z0718175345	71817	Rhizosphere	CentralCity	2	20	Low N	E14	Grassl	68	Energy	Low N_Energy	Energy_Low N
CC0221FE13Z0718176193	71817	Rhizosphere	CentralCity	2	21	Full N	E13	PI297130	64	Energy	Full N_Energy	Energy_Full N
CC0221LE13Z0718176172	71817	Rhizosphere	CentralCity	2	21	Low N	E13	PI297130	63	Energy	Low N_Energy	Energy_Low N
CC0222FE11Z0718176194	71817	Rhizosphere	CentralCity	2	22	Full N	E11	PI506069	68	Energy	Full N_Energy	Energy_Full N
CC0222LE11Z0718176173	71817	Rhizosphere	CentralCity	2	22	Low N	E11	PI506069	68	Energy	Low N_Energy	Energy_Low N
CC0223LE7Z0718176174	71817	Rhizosphere	CentralCity	2	23	Low N	E7	NTJ2	66	Energy	Low N_Energy	Energy_Low N
CC0224FS5Z0718176196	71817	Rhizosphere	CentralCity	2	24	Full N	S5	Leoti	65	Sweet	Full N_Sweet	Sweet_Full N
CC0224LS5Z0718176175	71817	Rhizosphere	CentralCity	2	24	Low N	S5	Leoti	66	Sweet	Low N_Sweet	Sweet_Low N
CC0301FG1Z0718175349	71817	Rhizosphere	CentralCity	3	1	Full N	G1	BTx623	63	Grain	Full N_Grain	Grain_Full N
CC0301LG1Z0718175352	71817	Rhizosphere	CentralCity	3	1	Low N	G1	BTx623	63	Grain	Low N_Grain	Grain_Low N
CC0302FG3Z0718176197	71817	Rhizosphere	CentralCity	3	2	Full N	G3	Btx642	62	Grain	Full N_Grain	Grain_Full N
CC0302LG3Z0718176218	71817	Rhizosphere	CentralCity	3	2	Low N	G3	Btx642	68	Grain	Low N_Grain	Grain_Low N
CC0303FE17Z0718175350	71817	Rhizosphere	CentralCity	3	3	Full N	E17	PI655972	69	Energy	Full N_Energy	Energy_Full N
CC0303LE17Z0718175353	71817	Rhizosphere	CentralCity	3	3	Low N	E17	PI655972	64	Energy	Low N_Energy	Energy_Low N
CC0304FS10Z0718176198	71817	Rhizosphere	CentralCity	3	4	Full N	S10	China17	67	Sweet	Full N_Sweet	Sweet_Full N
CC0304LS10Z0718176219	71817	Rhizosphere	CentralCity	3	4	Low N	S10	China17	63	Sweet	Low N_Sweet	Sweet_Low N
CC0305FS2Z0718178575	71817	Rhizosphere	CentralCity	3	5	Full N	S2	SanChiSan	91	Sweet	Full N_Sweet	Sweet_Full N
CC0305LS2Z0718176220	71817	Rhizosphere	CentralCity	3	5	Low N	S2	SanChiSan	64	Sweet	Low N_Sweet	Sweet_Low N
CC0306LE10Z0718176221	71817	Rhizosphere	CentralCity	3	6	Low N	E10	PI297155	69	Energy	Low N_Energy	Energy_Low N
CC0307LS3Z0718176222	71817	Rhizosphere	CentralCity	3	7	Low N	S3	ICSV700	62	Sweet	Low N_Sweet	Sweet_Low N
CC0308FE9Z0718176202	71817	Rhizosphere	CentralCity	3	8	Full N	E9	PI229841	62	Energy	Full N_Energy	Energy_Full N
CC0308LE9Z0718176223	71817	Rhizosphere	CentralCity	3	8	Low N	E9	PI229841	64	Energy	Low N_Energy	Energy_Low N
CC0309FS4Z0718176203	71817	Rhizosphere	CentralCity	3	9	Full N	S4	Atlas	63	Sweet	Full N_Sweet	Sweet_Full N
CC0309LS4Z0718176224	71817	Rhizosphere	CentralCity	3	9	Low N	S4	Atlas	62	Sweet	Low N_Sweet	Sweet_Low N
CC0310FE13Z0718176204	71817	Rhizosphere	CentralCity	3	10	Full N	E13	PI297130	66	Energy	Full N_Energy	Energy_Full N
CC0310LE13Z0718176225	71817	Rhizosphere	CentralCity	3	10	Low N	E13	PI297130	66	Energy	Low N_Energy	Energy_Low N
CC0311FE14Z0718175351	71817	Rhizosphere	CentralCity	3	11	Full N	E14	Grassl	68	Energy	Full N_Energy	Energy_Full N
CC0311LE14Z0718175354	71817	Rhizosphere	CentralCity	3	11	Low N	E14	Grassl	64	Energy	Low N_Energy	Energy_Low N
CC0312FS5Z0718176205	71817	Rhizosphere	CentralCity	3	12	Full N	S5	Leoti	66	Sweet	Full N_Sweet	Sweet_Full N
CC0312LS5Z0718176226	71817	Rhizosphere	CentralCity	3	12	Low N	S5	Leoti	62	Sweet	Low N_Sweet	Sweet_Low N
CC0313FE11Z0718176206	71817	Rhizosphere	CentralCity	3	13	Full N	E11	PI506069	62	Energy	Full N_Energy	Energy_Full N
CC0313LE11Z0718176227	71817	Rhizosphere	CentralCity	3	13	Low N	E11	PI506069	64	Energy	Low N_Energy	Energy_Low N
CC0314FS8Z0718176207	71817	Rhizosphere	CentralCity	3	14	Full N	S8	Rio	67	Sweet	Full N_Sweet	Sweet_Full N
CC0314LS8Z0718176229	71817	Rhizosphere	CentralCity	3	14	Low N	S8	Rio	63	Sweet	Low N_Sweet	Sweet_Low N
CC0315FE4Z0718176208	71817	Rhizosphere	CentralCity	3	15	Full N	E4	PI329632	65	Energy	Full N_Energy	Energy_Full N
CC0315LE4Z0718176228	71817	Rhizosphere	CentralCity	3	15	Low N	E4	PI329632	66	Energy	Low N_Energy	Energy_Low N
CC0316FE8Z0718176209	71817	Rhizosphere	CentralCity	3	16	Full N	E8	M81e	62	Energy	Full N_Energy	Energy_Full N
CC0316LE8Z0718176230	71817	Rhizosphere	CentralCity	3	16	Low N	E8	M81e	66	Energy	Low N_Energy	Energy_Low N
CC0317LE15Z0718176231	71817	Rhizosphere	CentralCity	3	17	Low N	E15	PI152730	68	Energy	Low N_Energy	Energy_Low N
CC0318FE18Z0718176211	71817	Rhizosphere	CentralCity	3	18	Full N	E18	PI510757	69	Energy	Full N_Energy	Energy_Full N
CC0318LE18Z0718176232	71817	Rhizosphere	CentralCity	3	18	Low N	E18	PI510757	62	Energy	Low N_Energy	Energy_Low N
CC0319FE5Z0718176212	71817	Rhizosphere	CentralCity	3	19	Full N	E5	PI35038	65	Energy	Full N_Energy	Energy_Full N
CC0319LE5Z0718176233	71817	Rhizosphere	CentralCity	3	19	Low N	E5	PI35038	66	Energy	Low N_Energy	Energy_Low N
CC0320FE7Z0718176213	71817	Rhizosphere	CentralCity	3	20	Full N	E7	NTJ2	66	Energy	Full N_Energy	Energy_Full N
CC0320LE7Z0718176234	71817	Rhizosphere	CentralCity	3	20	Low N	E7	NTJ2	67	Energy	Low N_Energy	Energy_Low N
CC0321FE1Z0718176214	71817	Rhizosphere	CentralCity	3	21	Full N	E1	PI329311	69	Energy	Full N_Energy	Energy_Full N
CC0321LE1Z0718176235	71817	Rhizosphere	CentralCity	3	21	Low N	E1	PI329311	68	Energy	Low N_Energy	Energy_Low N
CC0322FE6Z0718176215	71817	Rhizosphere	CentralCity	3	22	Full N	E6	PI585954	64	Energy	Full N_Energy	Energy_Full N
CC0323FE3Z0718176216	71817	Rhizosphere	CentralCity	3	23	Full N	E3	PI505735	67	Energy	Full N_Energy	Energy_Full N
CC0323LE3Z0718176237	71817	Rhizosphere	CentralCity	3	23	Low N	E3	PI505735	62	Energy	Low N_Energy	Energy_Low N
CC0324FS6Z0718176217	71817	Rhizosphere	CentralCity	3	24	Full N	S6	ChineseAmber	63	Sweet	Full N_Sweet	Sweet_Full N
